Date,Open,High,Low,Close,Volume,Adjusted
2000-01-03,40.886634826660156,41.67234420776367,39.305274963378906,39.9815788269043,710248,16.692272186279297
2000-01-04,38.937286376953125,39.6633186340332,37.49516296386719,37.49516296386719,1102290,15.65419864654541
2000-01-05,37.79353332519531,38.04217529296875,35.91380310058594,35.91380310058594,1457955,14.993979454040527
2000-01-06,36.053043365478516,37.455379486083984,35.92374801635742,37.29624938964844,1054723,15.571151733398438
2000-01-07,37.79353332519531,40.27994918823242,37.29624938964844,39.28538131713867,1688898,16.401613235473633
2000-01-10,39.93185043334961,41.77180099487305,38.44000244140625,38.44000244140625,1211443,16.048669815063477
2000-01-11,39.68320846557617,40.349571228027344,37.79353332519531,38.937286376953125,1287027,16.25628662109375
2000-01-12,39.28538131713867,39.434566497802734,37.79353332519531,38.09190368652344,1127918,15.903332710266113
2000-01-13,37.89299011230469,38.68864440917969,37.19679260253906,37.84326171875,1108747,15.799527168273926
2000-01-14,37.375816345214844,40.27994918823242,37.38576126098633,39.47434997558594,1986827,16.480504989624023
2000-01-17,40.57831954956055,40.7772331237793,38.052120208740234,38.83782958984375,1082715,16.21476173400879
2000-01-18,38.78810119628906,38.58918762207031,36.79896545410156,36.79896545410156,1339060,15.363533020019531
2000-01-19,36.89842224121094,37.78358840942383,36.1027717590332,36.89842224121094,1650121,15.40505599975586
2000-01-20,36.89842224121094,37.564781188964844,36.1027717590332,36.80891036987305,1479670,15.367682456970215
2000-01-21,36.23206329345703,36.79896545410156,36.00331115722656,36.550323486328125,899148,15.259723663330078
2000-01-24,36.30168151855469,37.29624938964844,36.00331115722656,36.00331115722656,1000804,15.031352996826172
2000-01-25,35.80440139770508,35.80440139770508,34.5114631652832,34.660648345947266,1685125,14.47078800201416
2000-01-26,35.80440139770508,37.29624938964844,34.93912887573242,36.79896545410156,1904070,15.363533020019531
2000-01-27,37.29624938964844,38.04217529296875,36.99787902832031,37.79353332519531,2059519,15.778762817382812
2000-01-28,37.89299011230469,39.13619613647461,37.345977783203125,38.29081726074219,1244174,15.98637866973877
2000-01-31,37.544891357421875,38.817935943603516,37.345977783203125,38.29081726074219,1176137,15.98637866973877
2000-02-01,38.09190368652344,38.98701477050781,37.99244689941406,38.58918762207031,813142,16.110950469970703
2000-02-02,38.78810119628906,39.5837516784668,38.04217529296875,39.5837516784668,975686,16.526180267333984
2000-02-03,39.20581817626953,39.78266525268555,38.539459228515625,39.28538131713867,1439753,16.401613235473633
2000-02-04,38.35049057006836,39.45446014404297,36.8188591003418,38.78810119628906,1152627,16.194000244140625
2000-02-07,39.02679443359375,39.6633186340332,37.90293502807617,38.78810119628906,987141,16.194000244140625
2000-02-08,38.79804611206055,39.73293685913086,38.58918762207031,39.02679443359375,951979,16.293651580810547
2000-02-09,39.00690460205078,39.28538131713867,38.04217529296875,38.39027404785156,958643,16.027904510498047
2000-02-10,38.58918762207031,39.9815788269043,37.345977783203125,39.28538131713867,936332,16.401613235473633
2000-02-11,39.28538131713867,39.78266525268555,37.84326171875,38.78810119628906,1037698,16.194000244140625
2000-02-14,38.04217529296875,40.05120086669922,38.04217529296875,39.28538131713867,870551,16.401613235473633
2000-02-15,38.83782958984375,39.53402328491211,38.30076217651367,39.53402328491211,911983,16.505420684814453
2000-02-16,39.68320846557617,40.7772331237793,39.00690460205078,40.7772331237793,1450438,17.02446174621582
2000-02-17,40.27994918823242,42.9553337097168,40.08103561401367,42.7663688659668,2660328,17.854923248291016
2000-02-18,42.7663688659668,42.88571548461914,41.9707145690918,42.666908264160156,1072997,17.813398361206055
2000-02-21,41.7618522644043,42.45804977416992,40.7772331237793,41.1750602722168,1072840,17.190553665161133
2000-02-22,41.52315902709961,41.5728874206543,39.53402328491211,40.67777633666992,1395944,16.982934951782227
2000-02-23,40.409244537353516,41.77180099487305,39.335113525390625,40.76728820800781,1286053,17.020307540893555
2000-02-24,39.78266525268555,40.72750473022461,37.20673751831055,40.47886276245117,1706195,16.899890899658203
2000-02-25,39.42462158203125,40.27994918823242,39.305274963378906,40.27994918823242,6339821,16.816843032836914
2000-02-28,40.13076400756836,40.7772331237793,38.29081726074219,39.93185043334961,1516902,16.6715087890625
2000-02-29,39.08647155761719,40.47886276245117,38.54940414428711,39.77272033691406,1901514,16.60507583618164
2000-03-01,39.29533004760742,40.27994918823242,37.90293502807617,40.27994918823242,901705,16.816843032836914
2000-03-02,39.305274963378906,41.75190734863281,39.305274963378906,40.7772331237793,1091983,17.02446174621582
2000-03-03,41.27451705932617,41.67234420776367,39.5837516784668,41.67234420776367,918757,17.398164749145508
2000-03-06,40.66783142089844,41.622615814208984,40.090980529785156,41.37397384643555,737584,17.273597717285156
2000-03-07,39.78266525268555,41.77180099487305,39.78266525268555,41.37397384643555,672821,17.273597717285156
2000-03-08,40.27994918823242,41.5728874206543,39.78266525268555,40.47886276245117,930454,16.899890899658203
2000-03-09,40.52859115600586,41.224788665771484,38.98701477050781,39.78266525268555,847226,16.609228134155273
2000-03-10,39.28538131713867,40.27994918823242,38.937286376953125,39.47434997558594,1105818,16.480504989624023
2000-03-13,38.68864440917969,39.48429870605469,37.79353332519531,37.79353332519531,963254,15.778762817382812
2000-03-14,38.559349060058594,40.47886276245117,38.231143951416016,39.48429870605469,1360508,16.48465919494629
